Date,Close/Last,Volume,Open,High,Low
01/14/2025,221.64,3381229,224.30,225.47,220.81
01/13/2025,222.07,2711005,219.14,222.10,218.30
01/10/2025,220.82,3434810,222.16,222.54,219.62
01/08/2025,223.01,2654877,222.30,223.89,221.18
01/07/2025,222.38,2777007,226.58,227.25,221.57
01/06/2025,226.77,3393135,228.32,228.49,225.54
01/03/2025,225.88,3250769,222.64,226.02,221.52
01/02/2025,221.40,4583242,224.44,225.12,219.99
12/31/2024,224.35,2625399,227.28,227.95,223.97
12/30/2024,226.05,2706597,226.25,227.5092,224.63
12/27/2024,229.74,3048693,232.05,232.05,228.63
12/26/2024,233.60,2055415,233.97,234.45,232.57
12/24/2024,234.47,1276273,230.14,234.50,229.945
12/23/2024,229.17,2961256,228.89,229.40,226.18
12/20/2024,228.91,5458147,226.04,232.51,225.50
12/19/2024,228.33,6602627,231.76,232.418,226.965
12/18/2024,228.64,7202518,237.53,240.28,227.71
12/17/2024,239.43,5110481,239.76,239.93,237.45
12/16/2024,238.68,3007198,236.71,238.85,236.25
12/13/2024,235.49,2691256,234.49,235.589,233.90
12/12/2024,234.56,2436188,236.40,236.66,234.26
12/11/2024,236.52,2867412,234.37,236.60,234.24
12/10/2024,232.44,3815443,232.10,234.60,231.6701
12/09/2024,232.06,3256865,234.14,235.572,231.23
12/06/2024,232.80,2444609,229.86,232.85,229.84
12/05/2024,228.00,3660915,226.37,229.03,226.27
12/04/2024,226.15,2769742,224.55,226.37,224.31
12/03/2024,224.07,3525712,223.80,224.21,222.86
12/02/2024,224.24,4067668,223.87,224.77,223.45
11/29/2024,222.30,885704,220.53,222.35,220.40
11/27/2024,220.04,1914533,221.54,221.85,219.51
11/26/2024,221.13,1989811,220.22,221.51,219.8716
11/25/2024,220.33,3680192,220.70,222.265,220.22
11/22/2024,218.10,2275349,215.62,218.73,215.62
11/21/2024,215.00,2734286,215.27,215.54,213.34
11/20/2024,214.62,2989550,214.93,215.065,212.38
